Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
106,Sunday Jul 27,preview,CHC,@,CHW,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
107,Monday Jul 28,preview,CHC,@,MIL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
108,Tuesday Jul 29,preview,CHC,@,MIL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
109,Wednesday Jul 30,preview,CHC,@,MIL,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
110,Friday Aug 1,preview,CHC,,BAL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
111,Saturday Aug 2,preview,CHC,,BAL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
112,Sunday Aug 3,preview,CHC,,BAL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
113,Monday Aug 4,preview,CHC,,CIN,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
114,Tuesday Aug 5,preview,CHC,,CIN,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
115,Wednesday Aug 6,preview,CHC,,CIN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
116,Friday Aug 8,preview,CHC,@,STL,8:15 PM,8:15 PM,8:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
117,Saturday Aug 9,preview,CHC,@,STL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
118,Sunday Aug 10,preview,CHC,@,STL,2:15 PM,2:15 PM,2:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
119,Tuesday Aug 12,preview,CHC,@,TOR,7:07 PM,7:07 PM,7:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
120,Wednesday Aug 13,preview,CHC,@,TOR,7:07 PM,7:07 PM,7:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
121,Thursday Aug 14,preview,CHC,@,TOR,3:07 PM,3:07 PM,3:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
122,Friday Aug 15,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
123,Saturday Aug 16,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
124,Sunday Aug 17,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
125,Monday Aug 18,preview,CHC,,MIL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
126,Tuesday Aug 19,preview,CHC,,MIL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
127,Wednesday Aug 20,preview,CHC,,MIL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
128,Thursday Aug 21,preview,CHC,,MIL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
129,Friday Aug 22,preview,CHC,@,LAA,9:38 PM,9:38 PM,9:38 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
130,Saturday Aug 23,preview,CHC,@,LAA,9:38 PM,9:38 PM,9:38 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
131,Sunday Aug 24,preview,CHC,@,LAA,4:07 PM,4:07 PM,4:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
