Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
116,Friday Aug 8,preview,CHW,,CLE,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
117,Saturday Aug 9,preview,CHW,,CLE,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
118,Sunday Aug 10,preview,CHW,,CLE,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
119,Monday Aug 11,preview,CHW,,DET,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
120,Tuesday Aug 12,preview,CHW,,DET,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
121,Wednesday Aug 13,preview,CHW,,DET,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
122,Friday Aug 15,preview,CHW,@,KCR,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
123,Saturday Aug 16,preview,CHW,@,KCR,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
124,Sunday Aug 17,preview,CHW,@,KCR,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
125,Monday Aug 18,preview,CHW,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
126,Tuesday Aug 19,preview,CHW,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
127,Wednesday Aug 20,preview,CHW,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
128,Friday Aug 22,preview,CHW,,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
129,Saturday Aug 23,preview,CHW,,MIN,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
130,Sunday Aug 24,preview,CHW,,MIN,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
131,Monday Aug 25,preview,CHW,,KCR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
132,Tuesday Aug 26,preview,CHW,,KCR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
133,Wednesday Aug 27,preview,CHW,,KCR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
134,Thursday Aug 28,preview,CHW,,NYY,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
135,Friday Aug 29,preview,CHW,,NYY,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
136,Saturday Aug 30,preview,CHW,,NYY,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
137,Sunday Aug 31,preview,CHW,,NYY,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
138,Monday Sep 1,preview,CHW,@,MIN,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
139,Tuesday Sep 2,preview,CHW,@,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
140,Wednesday Sep 3,preview,CHW,@,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
141,Thursday Sep 4,preview,CHW,@,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
142,Friday Sep 5,preview,CHW,@,DET,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
143,Saturday Sep 6,preview,CHW,@,DET,6:10 PM,6:10 PM,6:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
144,Sunday Sep 7,preview,CHW,@,DET,1:40 PM,1:40 PM,1:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
145,Tuesday Sep 9,preview,CHW,,TBR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
146,Wednesday Sep 10,preview,CHW,,TBR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
147,Thursday Sep 11,preview,CHW,,TBR,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
148,Friday Sep 12,preview,CHW,@,CLE,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
149,Saturday Sep 13,preview,CHW,@,CLE,6:10 PM,6:10 PM,6:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
150,Sunday Sep 14,preview,CHW,@,CLE,1:40 PM,1:40 PM,1:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
151,Monday Sep 15,preview,CHW,,BAL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
152,Tuesday Sep 16,preview,CHW,,BAL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
153,Wednesday Sep 17,preview,CHW,,BAL,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
154,Friday Sep 19,preview,CHW,,SDP,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
155,Saturday Sep 20,preview,CHW,,SDP,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
156,Sunday Sep 21,preview,CHW,,SDP,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
157,Tuesday Sep 23,preview,CHW,@,NYY,7:05 PM,7:05 PM,7:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
158,Wednesday Sep 24,preview,CHW,@,NYY,7:05 PM,7:05 PM,7:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
159,Thursday Sep 25,preview,CHW,@,NYY,7:05 PM,7:05 PM,7:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
160,Friday Sep 26,preview,CHW,@,WSN,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
161,Saturday Sep 27,preview,CHW,@,WSN,4:05 PM,4:05 PM,4:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
162,Sunday Sep 28,preview,CHW,@,WSN,3:05 PM,3:05 PM,3:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
